1 SEED
0 INIT_TIME
500000 FIN_TIME
10 ARRIVE_MIN
500 ARRIVE_MAX
0.2 QUIT_PROB
10 CPU_MIN
100 CPU_MAX
10 DISK1_MIN
100 DISK1_MAX
10 DISK2_MIN
100 DISK2_MAX
At time 0, Job 1 enters the CPU.
At time 43803, Job 93 enters the CPU.
At time 43897, Job 93 finishes at CPU.
At time 43897, Job 93 arrives at Disk 1.
At time 44274, Job 94 arrives.
At time 44274, Job 94 enters the CPU.
At time 44368, Job 94 finishes at CPU.
At time 44368, Job 94 arrives at Disk 2.
At time 44745, Job 95 arrives.
At time 44745, Job 95 enters the CPU.
At time 44839, Job 95 finishes at CPU.
At time 44839, Job 95 arrives at Disk 1.
At time 45216, Job 96 arrives.
At time 45216, Job 96 enters the CPU.
At time 45310, Job 96 finishes at CPU.
At time 45310, Job 96 arrives at Disk 2.
At time 45687, Job 97 arrives.
At time 45687, Job 97 enters the CPU.
At time 45781, Job 97 finishes at CPU.
At time 45781, Job 97 arrives at Disk 1.
At time 46158, Job 98 arrives.
At time 46158, Job 98 enters the CPU.
At time 46252, Job 98 finishes at CPU.
At time 46252, Job 98 arrives at Disk 2.
At time 46629, Job 99 arrives.
At time 46629, Job 99 enters the CPU.
At time 46723, Job 99 finishes at CPU.
At time 46723, Job 99 arrives at Disk 1.
At time 47100, Job 100 arrives.
At time 47100, Job 100 enters the CPU.
At time 47194, Job 100 finishes at CPU.
At time 47194, Job 100 arrives at Disk 2.
At time 47571, Job 101 arrives.
At time 47571, Job 101 enters the CPU.
At time 47665, Job 101 finishes at CPU.
At time 47665, Job 101 arrives at Disk 1.
At time 48042, Job 102 arrives.
At time 48042, Job 102 enters the CPU.
At time 48136, Job 102 finishes at CPU.
At time 48136, Job 102 arrives at Disk 2.
At time 48513, Job 103 arrives.
At time 48513, Job 103 enters the CPU.
At time 48607, Job 103 finishes at CPU.
At time 48607, Job 103 arrives at Disk 1.
At time 48984, Job 104 arrives.
At time 48984, Job 104 enters the CPU.
At time 49078, Job 104 finishes at CPU.
At time 49078, Job 104 arrives at Disk 2.
At time 49455, Job 105 arrives.
At time 49455, Job 105 enters the CPU.
At time 49549, Job 105 finishes at CPU.
At time 49549, Job 105 arrives at Disk 1.
At time 49926, Job 106 arrives.
At time 49926, Job 106 enters the CPU.
At time 50020, Job 106 finishes at CPU.
At time 50020, Job 106 arrives at Disk 2.
At time 50397, Job 107 arrives.
At time 50397, Job 107 enters the CPU.
At time 50491, Job 107 finishes at CPU.
At time 50491, Job 107 arrives at Disk 1.
At time 50868, Job 108 arrives.
At time 50868, Job 108 enters the CPU.
At time 50962, Job 108 finishes at CPU.
At time 50962, Job 108 arrives at Disk 2.
At time 51339, Job 109 arrives.
At time 51339, Job 109 enters the CPU.
At time 51433, Job 109 finishes at CPU.
At time 51433, Job 109 arrives at Disk 1.
At time 51810, Job 110 arrives.
At time 51810, Job 110 enters the CPU.
At time 51904, Job 110 finishes at CPU.
At time 51904, Job 110 arrives at Disk 2.
At time 52281, Job 111 arrives.
At time 52281, Job 111 enters the CPU.
At time 52375, Job 111 finishes at CPU.
At time 52375, Job 111 arrives at Disk 1.
At time 52752, Job 112 arrives.
At time 52752, Job 112 enters the CPU.
At time 52846, Job 112 finishes at CPU.
At time 52846, Job 112 arrives at Disk 2.
At time 53223, Job 113 arrives.
At time 53223, Job 113 enters the CPU.
At time 53317, Job 113 finishes at CPU.
At time 53317, Job 113 arrives at Disk 1.
At time 53694, Job 114 arrives.
At time 53694, Job 114 enters the CPU.
At time 53788, Job 114 finishes at CPU.
At time 53788, Job 114 arrives at Disk 2.
At time 54165, Job 115 arrives.
At time 54165, Job 115 enters the CPU.
At time 54259, Job 115 finishes at CPU.
At time 54259, Job 115 arrives at Disk 1.
At time 54636, Job 116 arrives.
At time 54636, Job 116 enters the CPU.
At time 54730, Job 116 finishes at CPU.
At time 54730, Job 116 arrives at Disk 2.
At time 55107, Job 117 arrives.
At time 55107, Job 117 enters the CPU.
At time 55201, Job 117 finishes at CPU.
At time 55201, Job 117 arrives at Disk 1.
At time 55578, Job 118 arrives.
At time 55578, Job 118 enters the CPU.
At time 55672, Job 118 finishes at CPU.
At time 55672, Job 118 arrives at Disk 2.
At time 56049, Job 119 arrives.
At time 56049, Job 119 enters the CPU.
At time 56143, Job 119 finishes at CPU.
At time 56143, Job 119 arrives at Disk 1.
At time 56520, Job 120 arrives.
At time 56520, Job 120 enters the CPU.
At time 56614, Job 120 finishes at CPU.
At time 56614, Job 120 arrives at Disk 2.
At time 56991, Job 121 arrives.
At time 56991, Job 121 enters the CPU.
At time 57085, Job 121 finishes at CPU.
At time 57085, Job 121 arrives at Disk 1.
At time 57462, Job 122 arrives.
At time 57462, Job 122 enters the CPU.
At time 57556, Job 122 finishes at CPU.
At time 57556, Job 122 arrives at Disk 2.
At time 57933, Job 123 arrives.
At time 57933, Job 123 enters the CPU.
At time 58027, Job 123 finishes at CPU.
At time 58027, Job 123 arrives at Disk 1.
At time 58404, Job 124 arrives.
At time 58404, Job 124 enters the CPU.
At time 58498, Job 124 finishes at CPU.
At time 58498, Job 124 arrives at Disk 2.
At time 58875, Job 125 arrives.
At time 58875, Job 125 enters the CPU.
At time 58969, Job 125 finishes at CPU.
At time 58969, Job 125 arrives at Disk 1.
At time 59346, Job 126 arrives.
At time 59346, Job 126 enters the CPU.
At time 59440, Job 126 finishes at CPU.
At time 59440, Job 126 arrives at Disk 2.
At time 59817, Job 127 arrives.
At time 59817, Job 127 enters the CPU.
At time 59911, Job 127 finishes at CPU.
At time 59911, Job 127 arrives at Disk 1.
At time 60288, Job 128 arrives.
At time 60288, Job 128 enters the CPU.
At time 60382, Job 128 finishes at CPU.
At time 60382, Job 128 arrives at Disk 2.
At time 60759, Job 129 arrives.
At time 60759, Job 129 enters the CPU.
At time 60853, Job 129 finishes at CPU.
At time 60853, Job 129 arrives at Disk 1.
At time 61230, Job 130 arrives.
At time 61230, Job 130 enters the CPU.
At time 61324, Job 130 finishes at CPU.
At time 61324, Job 130 arrives at Disk 2.
At time 61701, Job 131 arrives.
At time 61701, Job 131 enters the CPU.
At time 61795, Job 131 finishes at CPU.
At time 61795, Job 131 arrives at Disk 1.
At time 62172, Job 132 arrives.
At time 62172, Job 132 enters the CPU.
At time 62266, Job 132 finishes at CPU.
At time 62266, Job 132 arrives at Disk 2.
At time 62643, Job 133 arrives.
At time 62643, Job 133 enters the CPU.
At time 62737, Job 133 finishes at CPU.
At time 62737, Job 133 arrives at Disk 1.
At time 63114, Job 134 arrives.
At time 63114, Job 134 enters the CPU.
At time 63208, Job 134 finishes at CPU.
At time 63208, Job 134 arrives at Disk 2.
At time 63585, Job 135 arrives.
At time 63585, Job 135 enters the CPU.
At time 63679, Job 135 finishes at CPU.
At time 63679, Job 135 arrives at Disk 1.
At time 64056, Job 136 arrives.
At time 64056, Job 136 enters the CPU.
At time 64150, Job 136 finishes at CPU.
At time 64150, Job 136 arrives at Disk 2.
At time 64527, Job 137 arrives.
At time 64527, Job 137 enters the CPU.
At time 64621, Job 137 finishes at CPU.
At time 64621, Job 137 arrives at Disk 1.
At time 64998, Job 138 arrives.
At time 64998, Job 138 enters the CPU.
At time 65092, Job 138 finishes at CPU.
At time 65092, Job 138 arrives at Disk 2.
At time 65469, Job 139 arrives.
At time 65469, Job 139 enters the CPU.
At time 65563, Job 139 finishes at CPU.
At time 65563, Job 139 arrives at Disk 2.
At time 65940, Job 140 arrives.
At time 65940, Job 140 enters the CPU.
At time 66034, Job 140 finishes at CPU.
At time 66034, Job 140 arrives at Disk 1.
At time 66411, Job 141 arrives.
At time 66411, Job 141 enters the CPU.
At time 66505, Job 141 finishes at CPU.
At time 66505, Job 141 arrives at Disk 1.
At time 66882, Job 142 arrives.
At time 66882, Job 142 enters the CPU.
At time 66976, Job 142 finishes at CPU.
At time 66976, Job 142 arrives at Disk 2.
At time 67353, Job 143 arrives.
At time 67353, Job 143 enters the CPU.
At time 67447, Job 143 finishes at CPU.
At time 67447, Job 143 arrives at Disk 1.
At time 67824, Job 144 arrives.
At time 67824, Job 144 enters the CPU.
At time 67918, Job 144 finishes at CPU.
At time 67918, Job 144 arrives at Disk 2.
At time 68295, Job 145 arrives.
At time 68295, Job 145 enters the CPU.
At time 68389, Job 145 finishes at CPU.
At time 68389, Job 145 arrives at Disk 1.
At time 68766, Job 146 arrives.
At time 68766, Job 146 enters the CPU.
At time 68860, Job 146 finishes at CPU.
At time 68860, Job 146 arrives at Disk 2.
At time 69237, Job 147 arrives.
At time 69237, Job 147 enters the CPU.
At time 69331, Job 147 finishes at CPU.
At time 69331, Job 147 arrives at Disk 1.
At time 69708, Job 148 arrives.
At time 69708, Job 148 enters the CPU.
At time 69802, Job 148 finishes at CPU.
At time 69802, Job 148 arrives at Disk 2.
